a	A
zhuang	ZUNO
zhui	ZUE
zhun	ZUN
zhuo	ZO
zi	DZ
zong	DZUEO
zou	DZEO
zu	DZU
zuan	DZUNA
zui	DZUE
zun	DZUN
zuo	DZO
